,ID_USER,genero,monto,fecha,hora,dispositivo,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,dcto,cashback,fraude
0,0,F,608.3456335,2020-01-21,20,ANDROID,Super,Merida,Fisica,71000.0,51.0,Aceptada,False,60.83456335,5.475110702,False
1,0,F,88.71924289,2020-01-15,7,ANDROID,MPago,Merida,Virtual,71000.0,51.0,Aceptada,False,0.0,1.774384858,False
2,1,F,790.0376533,2020-01-17,11,ANDROID,MPago,Guadalajara,Virtual,94000.0,56.0,En proceso,False,0.0,15.80075307,False
3,1,F,767.0053873,2020-01-05,11,WEB,MPago,Guadalajara,Fisica,94000.0,56.0,Aceptada,False,0.0,7.670053873,False
4,1,F,254.17105260000002,2020-01-30,10,ANDROID,Farmacia,Guadalajara,Fisica,94000.0,56.0,Aceptada,False,0.0,2.541710526,False
5,1,F,37.00374724,2020-01-27,3,ANDROID,MPago,Guadalajara,Fisica,94000.0,56.0,Rechazada,False,0.0,0.370037472,False
6,1,F,334.5160168,2020-01-06,2,ANDROID,Abarrotes,Guadalajara,Fisica,94000.0,56.0,Aceptada,False,33.45160168,3.0106441519999994,False
7,1,F,322.2644048,2020-01-11,13,ANDROID,MPago,Guadalajara,Fisica,94000.0,56.0,Aceptada,False,0.0,3.222644048,False
8,1,F,911.7978036,2020-01-19,3,ANDROID,Abarrotes,Guadalajara,Virtual,94000.0,56.0,Aceptada,False,91.17978036,16.41236046,False
9,2,F,160.0951872,2020-01-08,2,WEB,MPago,Toluca,Fisica,55000.0,57.0,Aceptada,False,16.00951872,1.440856685,False
10,2,F,60.74276394,2020-01-18,10,ANDROID,MPago,Toluca,Fisica,55000.0,57.0,Aceptada,False,0.0,0.607427639,False
11,2,F,517.5417181,2020-01-07,14,WEB,Farmacia,Toluca,Fisica,55000.0,57.0,Aceptada,False,51.75417181,4.657875463,False
12,2,F,436.9502657,2020-01-30,6,ANDROID,MPago,Toluca,Virtual,55000.0,57.0,En proceso,False,87.39005313,6.991204249999999,False
13,2,F,439.3063117,2020-01-26,16,ANDROID,MPago,Toluca,Fisica,55000.0,57.0,Aceptada,False,0.0,4.393063117,False
14,2,F,599.014183,2020-01-30,22,WEB,Super,Toluca,Fisica,55000.0,57.0,Aceptada,False,119.80283660000002,4.792113464,False
15,2,F,576.2429866,2020-01-04,8,ANDROID,MPago,Toluca,Fisica,55000.0,57.0,Aceptada,False,0.0,5.762429866,False
16,3,F,415.3643119,2020-01-26,19,ANDROID,Super,Toluca,Fisica,62000.0,34.0,Aceptada,False,0.0,4.153643119,False
17,3,F,62.60783621,2020-01-25,12,ANDROID,Farmacia,Toluca,Fisica,62000.0,34.0,Aceptada,False,0.0,0.626078362,False
18,4,--,277.1765241,2020-01-27,6,WEB,Restaurante,Merida,Fisica,83000.0,37.0,Aceptada,False,55.43530481,2.217412193,False
19,5,M,31.780052,2020-01-25,11,WEB,Farmacia,Monterrey,Fisica,33000.0,54.0,En proceso,False,0.0,0.31780052,False
20,5,M,680.8970683,2020-01-04,15,ANDROID,Super,Monterrey,Fisica,33000.0,54.0,Aceptada,False,136.1794137,5.447176546,False
21,5,M,243.0206747,2020-01-11,3,ANDROID,Farmacia,Monterrey,Fisica,33000.0,54.0,Aceptada,False,0.0,2.430206747,True
22,6,F,650.5538036,2020-01-26,16,ANDROID,Super,Guadalajara,Fisica,39000.0,55.0,Aceptada,False,0.0,6.505538036000001,False
23,7,--,905.1150722,2020-01-22,23,ANDROID,MPago,Guadalajara,Virtual,72000.0,57.0,Aceptada,False,90.51150722,16.2920713,False
24,7,--,392.6937372,2020-01-16,10,ANDROID,MPago,Guadalajara,Fisica,72000.0,57.0,Aceptada,False,0.0,3.926937372,False
25,7,--,621.6047006,2020-01-19,13,ANDROID,MPago,Guadalajara,Fisica,72000.0,57.0,Aceptada,False,0.0,6.216047006000001,False
